IDX,ET0100_PRODUTO,ET0100_NOME,ET0100_D_S_I,ET0090_EAN
54999,101279060,"CHAVETA MEIA LUA CD-024.01",18001004,7895823106786
184464,103028604,"COBERTURA 4241.791.7500",18017003,795711617103
578060,100145984,"ARRUELA CALCO 352 990 2040 - 318.004-2",18019002,4325376
622986,101522845,"BOIA TANQUE COMB 695 542 7317 -388.070-2",18019002,7899021007975
739404,101398723,"FILTRO 373043",18016003,7896821567203
741573,100501124,"EIXO AZ-420.85 MANN",18001004,8651365
1097719,101284972,"POLIA 442.372 - 388.917",18001001,7895823122618
1310524,100097504,"CONECTOR MACHO 203CO-11 5/16X1/2",18026003,2154671
1344342,101229843,"BRONZINA COMPRESSOR BB-235J 0.25",18020003,7892415927651
1422897,100093438,"CORREIA SUPER TECBELT C-111        65660",18031006,2014050
1478100,100127812,"GUIA 824.044",18001001,3488263
1574218,100203103,"ANEL O RING 6172 YP-20-61-72/82-06-52-58",18003006,3606300719221
1581631,100257199,"TANQUE COMBUSTIVEL 824.840 TECTANQUE",18001001,6880170
1586882,100232998,"DISCO DO FREIO CQ-581.29",18001004,6342302
1631322,104040728,"REPARO CILINDRO 421 412 0022 RDA-0343",18019002,7898385033439
1663918,100152982,"TRAVA CUBO RODA TRAS VC 000472 - 125000",18019002,4474838
1840288,101075167,"CONDUTOR FIXO 72.46.00.22",18003004,7890199874284
1931091,100129755,"CALOTA VEDACAO YD-06-57-13",18003006,3606300866031
2237472,100088649,"BUCHA 722.0708",18015002,1613605
2313417,105209988,"FILTRO C/SUPORTE KNORR K012570",18024002,7894294145621
2423413,105297824,"LUVA 7,5X6,8  9991.003.5087",18017003,795711426217
2867390,100259063,"PARAF 823.190 ORIG",18001001,6910600
2969630,103965305,"LANTERNA DIANT PL05101501",18037013,7899127208870
3092650,101530192,"SUPORTE CARDAN R-3032 / R-3059",18019002,7899143602669
3171868,100163827,"MOLA C-316.1               2212-1",18019011,4822912
3353763,101386331,"CAPA BICO 1179280",18016003,7896660834566
3433189,103119425,"FILTRO DONALDSON P-551551",18024002,742330043806
3433594,100035988,"PARAF RODA 67.1441",18002004,276757
3434240,103131748,"FILTRO WEGA WO-152 / WO-153",18024002,7798159123758
3444562,100151008,"MOLA TR-539.7                     8639-7",18019011,4378020
3702179,100143966,"BUCHA 60150009 - 200003016",18003007,4299806
3991293,101276878,"EIXO 824.647 - 375.030 - 468.962-VV-0421",18001001,7895823102115
4054884,100021554,"BUCHA 333.966",18001001,151849
4171691,101386287,"ELEMENTO FILTRANTE 1171494",18016003,7896660833149
4273995,100728156,"ASSENTO C/ANEL 127415",18016003,83657016
4303892,100192926,"BOMBA PULV SHURFLO S281R501 2088 12V",18016001,5474363
4361173,100097603,"CONJ CORRENTE C5NN-A946T          F-1749",18002002,2154848
4417753,100151442,"CAPA BORRACHA ESTAB TRAS 053831",18019002,4379720
4471642,100198140,"LONA FREIO DUROLINE DS-731",18027005,7895374132715
4509219,101477299,"OLHAL 10MM P/MANG 6MM 240.01.02",18019002,7898439468415
4706756,100259117,"CONJ CALCO TRANSPORTE CIL YC-09-25-00",18003006,6911522
4763015,100107746,"ADAPT MACHO JIC371.5/16X1.5/16 MJ16-MJ16",18028003,2610917
4953723,101256320,"VALVULA ACIONAMENTO FREIO I76636",18019002,7894294000029
5086279,101751160,"COMPRESSOR AR II-36928R",18019002,7894294152254
5181015,100020861,"PINO ELASTICO  6X45  130.047 34.M.7043",18026002,147583
5248760,101072074,"BUCHA ESPACADORA 14X25X30 35.10.00.12",18003004,7890199254109
5362734,100145540,"MOLA ACELERADOR 319 993 0510 - 585.000-2",18019002,4322658
5551701,101023441,"MODULO IGNICAO 4241.400.1320",18017003,795711607456
5622294,103204015,"MANGUEIRA FILTRO AR CONTROIL       9001",18029001,7893049900119
6187932,105535209,"ROLAMENTO 32212 TIMKEN",18030017,53893045924
6607801,100649741,"BUCHA SUPERIOR 040.957/1",18002003,8969712
6776443,101456102,"COXIM TRAS CABINE R-229",18019001,7898215792840
6842638,101289076,"CAIXA ROLAMENTO 3.226.811/1",18001003,7895823802879
7095434,100150797,"FILTRO ORIG D8NN-B486-DA -844.65082 ORIG",18024002,4366485
7124589,100193787,"CORREIA AGRIC 242199 CQ-402.21",18031001,5493722
7211282,101283609,"TAMPA BATEDOR Z-308.79",18001004,7895823118611
7238797,100087307,"CORREIA SUPER TECBELT B- 76        71999",18031005,1524758
7257048,101476919,"ROLAMENTO 6308-2RS NSK 40X90X23",18030021,7898435199696
7428580,104059324,"BUCHA BIELA SEMI G21051 STD",18020004,7892415636027
7588302,100165814,"RODOAR CONEXAO UNIAO 8X6 026979",18019008,4856375
7615207,100470086,"CUBO 326496",18016003,8557346
7637080,101291345,"LIMITADOR TRANSMISSAO 130.2221C1",18001010,7895823816609
7778262,101477558,"ABRACADEIRA INTERC  89-98MM 1018998",18019002,7898439509057
7795642,101246321,"FILTRO MANN W- 1135/3",18024002,7893390600287
8104619,101530833,"CABECOTE 110288",18016003,7899144837169
8486544,105278649,"LONA FREIO DUROLINE DM-590",18027005,7895374132449
8497984,100151046,"TRINCO DIREITO PRETO 002148",18019002,4378082
8678052,101290805,"SUPORTE ESQ PICADOR PALHA DQ-184.95",18001004,7895823812670
8893185,100095821,"CONJ TRINCO 267.019",18001003,2111100
9030388,104431564,"FILTRO WEGA FAP-6012",18024001,7798001695679
9469480,101074177,"PARAF SEXT 12X40 81.88.12.040",18003004,7890199405471
9493578,101456331,"BORRACHA CARDAN C/ROLAMENTO R-3011",18019002,7898215793694
9751087,100474947,"MANGOTE BEGEBOR 152",18003009,8578068
9833005,100126808,"PORCA 756.970",18001001,3482926
9865316,100175202,"CONJ ELEV MF 42T EG260/1175.165.501 1L",18001007,5096695
9881363,104425501,"RETENTOR SABO 2879-BAG",18025001,7891252028798
10220039,101207131,"BATERIA HELIAR HFS-150-TD SELADA",18023001,7891676162726
10256732,103218661,"ROLAMENTO GE 60 KRRB SKF I-YEL 212-2F",18030004,7316570118209
10367833,100025613,"DISCO MILHO NR 03 - VERDE",18004001,177870
10392860,101393612,"TIRANTE FIXO 205575",18016003,7896821501405
10745829,100227789,"FUNDO PICADOR SLC 1450 DQ-350.59-FP",18001004,6236106
10810816,100053616,"ROLAMENTO 6012-2RS NSK 60X95X18",18030019,1020908
10844403,101394091,"FILTRO FVS-200  020024 / 941344",18016003,7896821505311
10850615,101020358,"CINTA DUPLA 4119.710.9001",18017003,795711047184
10896977,101212715,"TUBO DESCARGA GUARANY U9119",18016002,7891988032618
11031131,101476926,"ROLAMENTO 6011-2RS NSK 55X90X18",18030019,7898435199764
11036573,101278353,"MANGA EIXO TRASEIRA DIR 449.793",18001001,7895823105659
11219241,100575224,"CILINDRO HIDR AZ-187.62/DQ-711.60 CARMAX",18001004,8864130
11254922,101072999,"PROTETOR LINHA 56.02.00.33",18003004,7890199329265
11301008,100115000,"PINO YD-06-51-02",18003006,2971124
11382431,100020120,"CARDAN COMPLETO CC-2002-1-VV-2021",18037026,140386
11534218,100245424,"CALCO 389 322 4231 - 690.142-5",18019002,6632854
11725714,101070520,"SUPORTE 28.04.00.80",18003004,7890199181221
11850298,100029130,"ARRASTADOR COMANDO 60/40 7041.2711.020",18018002,185899
12006102,100029079,"VALVULA RETORNO 11.3390",18002004,185806
12196217,100090475,"REPARO 466.336",18001001,1800357
12332079,104725816,"PISTAO S-48510 C/ANEL STD",18020008,7894766701522
12558084,101478111,"BUCHA MOLA DIANT 67X30X25 BL 001/ BU 051",18019012,7898441265804
12594542,100237153,"BARRA CORTE 16 PES 055.652N1 VV-0752-00",18001005,6434885
12638132,100143683,"MANG OLEO/GRAXA GOOD YEAR 5/8",18028001,4288633
