IDX,ET0100_PRODUTO,ET0100_NOME,ET0100_D_S_I,ET0090_EAN
139633,101011714,"ROLAMENTO HM-903249/210 TINKEM",18030030,53893811574
155655,100276657,"MOLA 936001030",18003007,7234651
289824,101066264,"ENGRENAGEM 14Z 03.07.00.24",18003004,7890199019845
302317,100096446,"TAMPA 321.756",18001003,2138169
601281,100185867,"BICO JACTO AVI-110.025 LILAS 054130",18016005,5357857
664069,101455662,"BUCHA ESTAB R-975",18019003,7898215789697
918729,100449044,"EIXO CATRACA 71150001",18003007,8446589
960882,100115895,"ARRUELA ONDULADA YN-20-00-12",18003006,2972527
995381,100191929,"SATELITE CAIXA TRANSMISSAO 6007-4168",18009003,5449217
1188250,100115437,"MOLA ENGATE YD-06-59-05",18003006,3606300866208
1370012,101215327,"PLATO EMBREAGEM LUK 133004710",18027002,4005108196750
1377893,100169805,"JOGO REPARO 80.201000",18002004,4988014
1510278,100812435,"RAMAL CENTRAL DIR 226852",18016003,83745829
1664221,103196730,"CARCACA VALVULA TERMOSTATICA MTE 60180",18042001,7893989077018
1707105,105193126,"EIXO PILOTO 3344218",18019001,7894182058446
1781116,100086157,"CORREIA SUPER TECBELT B- 36        71787",18031005,1509083
1902802,100315387,"BRACADEIRA FOLE 1.422.474 300.077-0",18019002,7648175
1938941,104370757,"CAPA 4226.121.2700",18017003,795711572938
2041427,100919912,"EIXO 21200001",18009002,83861680
2369974,100649024,"PORCA 756.213 ORIG",18001001,8968647
2421624,100250954,"RETENTOR 517.7709 ORIG",18002002,6747749
2591888,101288291,"LAMINA 391.492",18001001,7895823798561
2639415,103968016,"LAMINA PODADOR 450MM 4228.710.6050",18017003,795711352615
2701454,100229967,"ACOPLADOR DE AGULHA LUBRIFICACAO LUB-12A",18037012,7899694105930
2731967,105416959,"CORRENTE ELO LONGO 2040",18032001,7899841328861
2789470,101278087,"HASTE CAIXA PENEIRA CQ-276.36/Z-230.58",18001004,7895823105086
2812533,100091908,"CANAL 1175.180.810.00",18001002,1892024
2835946,100247992,"ENTRADA AGUA 15.87MM 034042 / 020114",18018003,6704193
2947273,101244433,"TAMPA RESERV AGUA TC 5051 GM",18037012,7893272003557
3075051,100235739,"PERFIL CQ-674.92 ORIG",18001004,6400910
3270302,100232042,"FILTRO COMBUSTIVEL TECFIL  GI  04/7",18024002,6310721
3306197,100741858,"ANEL SEG DAE  23 MM",18026001,83672859
3430135,103755272,"FILTRO AR CONDICIONADO TECFIL ACP 809",18024002,7891342013826
3454356,104517978,"LONA FREIO LFLEX L-651 / DM-583",18027005,7893026208054
3473103,100169744,"PIVO 824.614 ORIG",18001001,4983798
3648820,100156102,"CORREIA AGRIC 125322",18031001,4572503
3749103,100093810,"CONJUNTO ESTABILIZADOR 4600 XX",18002002,2021584
3965883,101463032,"FUSIVEL LAMINA ENGATE 25 AMPERES",18037014,7898285072064
4228202,100161052,"ELO FLEXIVEL 326447",18016003,4727156
4431807,100262070,"CORREIA SUPER TECBELT C- 96        69697",18031006,6957230
4445953,101397818,"PINO 752295",18016003,7896821543054
4582127,101052779,"ROLAMENTO 6003-2RS SKF 17X35X10",18030019,7316571815473
4861108,104061068,"EMB COMP MANGA EIXO 45.00 MM B-986-000",18019002,7893856020680
5054769,100152487,"BICO DIR 4115.1020.00.8",18037017,4439189
5182091,103430469,"FILTRO TECFIL AP-5461",18024001,7891342504454
5201564,100278040,"ROLO 2.804.728",18002003,7251962
5406327,100236453,"FILTRO COMB CM 3930942 FS-1280 / PSC-410",18024002,6414078
5497718,101552385,"GRAMPO U CRUZETA PEQ 94-291 / 41-106",18019002,7899491623378
5509846,104759743,"BUCHA AMORTECEDOR R-1271",18019003,7899143611852
5577219,101478531,"MARCADOR TEMPERATURA ELETRICO 3.148.822",18002003,7898447268830
5795720,100090369,"SILENCIOSO E6NN-5230-AA J1",18002002,1746617
5842094,100151022,"TAPETE VERNIR AZUL 063769",18019002,4378068
5946015,101020488,"SABRE MS STIHL SA-35 1.1MM 3005.008.3909",18017003,795711122096
5982875,100884715,"SUPORTE CENTRAL 70855/50 - 74.05",18019002,83823589
6073853,104426867,"ENGR BOMBA INJ 70.993.772 / 70993772",18002003,7895825087373
6639024,101552101,"CRUZETA LNG CZ-271 SPL 90-1X / 801031",18019002,7899491615250
6702099,100054262,"BRACO MENOR 3.225.570",18001003,1105452
7116121,104532957,"FILTRO OLEO VOX                  LB 962",18024002,7898286722272
7315069,100372335,"BATENTE 22X39 62200003 - 900005432",18003007,8069627
7387253,100392937,"SUPORTE GARFO 582239",18016003,8202864
7615993,104914050,"POLIA TENSORA 5320811100 INA",18019002,4005108982629
7688694,101530321,"COXIM MOTOR R-1204",18019003,7899143605288
7796625,100023817,"BUCHA 180.801/7",18002003,165877
7815941,100143669,"REDUCAO ASA  - 100 DID",18032002,4288411
7827224,100293487,"FLAP CAMARA DESCARGA 031525",18018003,7426049
7974505,100107791,"VEDACAO BORRACHA 1.483.332",18001003,2616377
8070011,101297798,"TUBO P/ DRENAGEN 6P",18028001,7895987083343
8194202,101293615,"ENGRENAGEM 296.023A1",18001010,7895823891446
8408500,100014662,"PINO ELASTICO  5X45",18026002,101240
8475300,100162820,"ESTEIRA CASE 24 TR ES-331 CA-557 DID",18001007,4779964
8649274,102759127,"ROLAMENTO 6203-ZZ SKF 17X40X12",18030020,7316577758743
8707080,101033532,"FILTRO MANN CU-1919 / CU-1919/2",18024001,4011558808037
8805018,100284287,"SELO CABECOTE 25.5MM 620609760024",18002004,7325311
8963832,103558620,"BUCHA OLHAL MOLA R-2272",18019003,7899143612026
9084138,100117158,"REGULADOR MOLA YD-07-50-02",18003006,3033852
9233221,101053769,"ROLAMENTO NJ-305 SKF",18030009,7316577030740
9323655,101214986,"PLATO EMBREAGEM LUK 135021310",18027002,7892063000997
9593432,101397252,"PINO 752329",18016003,7896821532690
9636055,101066059,"PINHAO MESA 01.09.00.30",18003004,7890199004940
9722017,100366242,"PORCA CASTELO M27 61832412",18009002,8037220
9988652,101245843,"FILTRO MANN C-17308",18024001,7893390206380
10015521,100206548,"DISCO RETO CORTE 20 METISA 4.4247",18004002,5761234
10028251,100870299,"KIT CORRENTE ESTEIRA KIT 80 DID",18032003,83807695
10185089,101828749,"PINO 20X80 1155106 TRIB",18016003,7896660813165
10207936,100139419,"CORREIA AGRIC 300260 840.23912",18031001,3972922
10487411,101277370,"PARAF 355.939",18001001,7895823103136
10513302,100097702,"TERM MACHO NPTF 16-16 MN-16-16",18028004,2154992
10768718,100023756,"BRACO 3 PONTO 893.439-3.147.681  MF-1198",18002003,165761
10912920,104371259,"COXIM MOTOR R-2231",18019005,7899143607541
11184730,100097825,"TERM MACHO JIC 37 08-08 MJ-8-8",18028004,2155708
11300871,101658698,"CABO ACELERADOR CBV 101.261",18019003,7892912007481
11379132,101394879,"FILTRO LINHA 973792",18016003,7896821510230
11493210,100087079,"CORREIA SUPER TECBELT A- 69        71035",18031004,1524307
11599491,100436655,"CONJ REPARO CIL 004068000",18003007,8399045
11693033,100186710,"PROTETOR 046.781",18001003,5375141
11727825,101289007,"MOLA TRANSMISAO CQ-276.38 / Z-296.34",18001004,7895823801957
11731240,105607180,"CORRENTE M.SERRA STIHL 1/4 3670.000.0028",18017002,886661945078
11974436,105001070,"FILTRO TECFIL ARS-8236",18024001,7891342511162
12578704,101167114,"RETENTOR SABO 0358-BR 30X50X10",18025001,7891252003580
12634067,101053066,"ROLAMENTO 6303-2RS SKF 17X47X14",18030021,7316576868443
