IDX,ET0100_PRODUTO,ET0100_NOME,ET0100_D_S_I,ET0090_EAN
9069020,101297033,"DEDO CARACOL 334.972 - VV-0183-01",18001001,7895985002025
18890994,101280608,"ENGRENAGEM 1175.165.001.00- VV-0735-00",18001002,7895823110141
19332365,100415797,"ENGRENAGEM H-159.615 - VV-3462-00",18001004,8309266
30847239,101297491,"JUNCAO BARRA CORTE SECCIONADA VV-6200-99",18001004,7895985027981
31675694,101281421,"CUBO 320.053 - 373.929 - VV-0393-00",18001001,7895823111759
35183795,100103885,"CALOTA 191.142 - VV-0226-00",18002003,2405728
35602137,101286655,"CABECA NAVALHA 759.649-758.560VV-0672-02",18001001,7895823135243
45583860,101297095,"DEDO CARACOL 849.96278 - VV-0278-01",18001001,7895985003008
47350471,100917932,"CABECA NAVALHA 842.75285 VV-3964-00",18001001,7895985078761
47470621,101279633,"ENGRENAGEM 388.816 - VV-0164-00",18001001,7895823107615
54335127,100114621,"CONJ MONTADO 041.841N1 - VV-0877-00",18001001,7895985008188
55173192,100237153,"BARRA CORTE 16 PES 055.652N1 VV-0752-00",18001005,6434885
58546614,100409253,"BRACO 825.270 - VV-0077-00",18001001,8286031
62104231,101280639,"ENGRENAGEM 365.826 - VV-0207-00",18001001,7895823110172
68034138,101284989,"BARRA FIXA 466.863 VV-0342-01",18001001,7895823122625
69982089,101277738,"CABECA NAVALHA AH-894.98 VV-0300-01",18001004,7895823103938
74580470,100161205,"BARRA CORTE 16 PES DQ-312.88-VV-0116-01",18001005,7895985001295
75838743,100886429,"BARRA CORTE 35 PES ESQ VV-3466-00",18001005,7895985025970
78561465,101297217,"DEDO CARACOL 1123.464.100.00-VV-0653-01",18001002,7895985005941
79900909,101285030,"BARRA FIXA 849.95484 VV-0345-01",18001001,7895985003602
103542719,101297255,"DEDO DUPLO 823.269-VV-0818-02",18001006,7895985007709
105200439,101277974,"ACOPLAMENTO Z-379.32 - VV-3191-00",18001004,7895985022740
105711852,101296975,"LAMINA CORTE DUPLA H-153.329 VV-0081-01",18001006,7895985000816
106823576,100018295,"BARRA CORTE 14 PES 3.468.151 VV-0654-01",18001005,123594
111099646,100022179,"EIXO 393.710 - VV-0210",18001001,154840
119710957,100022889,"ADAPTADOR CC-10-VV-1240",18037025,158770
119903788,102697870,"JUNCAO BARRA CORTE SECCIONADA VV-6300-99",18001004,7895985028070
120825320,101297453,"POLIA 849.97052 - VV-3393-00",18001001,7895985025284
128546214,100248692,"BARRA CORTE 14 PES DQ-323.76-VV-0714-01",18001005,7895985006641
135865432,100054057,"ADAPTADOR VV-1241-00",18016001,1037593
138466972,100022087,"ENGRENAGEM 388.567 - 823.752 VV-0341",18001001,154505
140895647,100024067,"COLAR EMBREAGEM 886.727-VV-0142-00",18002003,7895985001578
148858272,100696028,"DEDO DUPLO 877.02973 - VV-3764-00",18001006,83619359
154610266,101277356,"CUBO 354.787 - VV-0103-00",18001001,7895823103082
157042049,101297309,"MEIA POLIA 825.081/849.91651 -VV-3024-00",18001001,7895985020029
162194203,102194232,"BARRA CORTE 40 PES 877.25591 -VV-6840-00",18001005,7895985080665
163328302,100792911,"BARRA FIXA H-215.588 VV-3286-00",18001004,83725876
164993675,100369762,"BARRA CORTE 25 PES 849.82472-VV-6425-00",18001005,7895985028278
165434773,101276878,"EIXO 824.647 - 375.030 - 468.962-VV-0421",18001001,7895823102115
168334997,100102123,"EMBOLO 3.148.071 VV-3168-00",18002003,2321189
178660853,100415803,"ENGRENAGEM H-159.616 - VV-3463-00",18001004,8309273
190433522,100373899,"BARRA CORTE 20 PES DQ-657.77 -VV-6040-00",18001005,7895985027745
191586374,101297279,"DEDO DUPLO 823.271-VV-0820-02",18001006,7895985007747
194926864,101296951,"LAMINA PICADOR Z-459.94 VV-0061-01",18001006,7895985000625
201646335,102390443,"PARAF H-158.342 - VV-0741-00",18001004,7895985006870
202797572,100227031,"BARRA CORTE 14 PES 055.651-VV-0751-00",18001005,6229573
204099701,101286914,"ENGRENAGEM 1.480.679 - VV-0079-00",18001003,7895823789729
